id,event,path,lineno,caller_path,caller_lineno,owner_with_name,hierarchy
2350,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1022,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,123,ActiveRecord::ConnectionAdapters::ConnectionHandler#connected?,37
2351,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,124,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/railties/controller_runtime.rb,42,ActiveRecord::ConnectionHandling.connected?,36
2352,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,15,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/railties/controller_runtime.rb,43,ActiveRecord::LogSubscriber.reset_runtime,36
2353,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,11,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,16,ActiveRecord::LogSubscriber.runtime,37
2354,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,12,ActiveRecord::RuntimeRegistry.sql_runtime,38
2355,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/per_thread_registry.rb,46,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,ActiveSupport::PerThreadRegistry.instance,39
2356,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/per_thread_registry.rb,48,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,ActiveSupport::PerThreadRegistry.instance,39
2357,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,12,ActiveRecord::RuntimeRegistry.sql_runtime,38
2358,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,13,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,16,ActiveRecord::LogSubscriber.runtime,37
2359,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,7,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/log_subscriber.rb,16,ActiveRecord::LogSubscriber.runtime=,37
