id,event,path,lineno,caller_path,caller_lineno,owner_with_name,hierarchy
189,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,667,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,382,ActiveRecord::ConnectionAdapters::ConnectionPool#connection_cache_key,17
190,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,669,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,382,ActiveRecord::ConnectionAdapters::ConnectionPool#connection_cache_key,17
191,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,383,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1014,ActiveRecord::ConnectionAdapters::ConnectionPool#connection,16
192,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,1015,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,118,ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection,15
193,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,119,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,90,ActiveRecord::ConnectionHandling.retrieve_connection,14
194,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,91,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/querying.rb,41,ActiveRecord::ConnectionHandling.connection,13
195,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/sanitization.rb,22,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/querying.rb,41,ActiveRecord::Sanitization::ClassMethods.sanitize_sql_for_conditions,13
196,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/sanitization.rb,29,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/querying.rb,41,ActiveRecord::Sanitization::ClassMethods.sanitize_sql_for_conditions,13
197,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/query_cache.rb,95,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/querying.rb,41,ActiveRecord::ConnectionAdapters::QueryCache#select_all,13
198,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/query_cache.rb,135,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/query_cache.rb,96,ActiveRecord::ConnectionAdapters::QueryCache#locked?,14
199,call,vendor/bundle/gems/arel-9.0.0/lib/arel/select_manager.rb,68,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/query_cache.rb,137,Arel::SelectManager#locked,15
200,return,vendor/bundle/gems/arel-9.0.0/lib/arel/select_manager.rb,70,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/query_cache.rb,137,Arel::SelectManager#locked,15
201,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/query_cache.rb,138,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/query_cache.rb,96,ActiveRecord::ConnectionAdapters::QueryCache#locked?,14
202,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/database_statements.rb,498,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/query_cache.rb,97,ActiveRecord::ConnectionAdapters::DatabaseStatements#arel_from_relation,14
203,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/database_statements.rb,504,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/query_cache.rb,97,ActiveRecord::ConnectionAdapters::DatabaseStatements#arel_from_relation,14
204,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/database_statements.rb,17,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/query_cache.rb,98,ActiveRecord::ConnectionAdapters::DatabaseStatements#to_sql_and_binds,14
205,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract_adapter.rb,609,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/database_statements.rb,25,ActiveRecord::ConnectionAdapters::AbstractAdapter#collector,15
206,call,vendor/bundle/gems/arel-9.0.0/lib/arel/collectors/sql_string.rb,8,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract_adapter.rb,612,Arel::Collectors::SQLString#initialize,16
207,call,vendor/bundle/gems/arel-9.0.0/lib/arel/collectors/plain_string.rb,5,vendor/bundle/gems/arel-9.0.0/lib/arel/collectors/sql_string.rb,9,Arel::Collectors::SQLString#initialize,17
208,return,vendor/bundle/gems/arel-9.0.0/lib/arel/collectors/plain_string.rb,7,vendor/bundle/gems/arel-9.0.0/lib/arel/collectors/sql_string.rb,9,Arel::Collectors::SQLString#initialize,17
209,return,vendor/bundle/gems/arel-9.0.0/lib/arel/collectors/sql_string.rb,11,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract_adapter.rb,612,Arel::Collectors::SQLString#initialize,16
210,call,vendor/bundle/gems/arel-9.0.0/lib/arel/collectors/bind.rb,6,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract_adapter.rb,613,Arel::Collectors::Bind#initialize,16
211,return,vendor/bundle/gems/arel-9.0.0/lib/arel/collectors/bind.rb,8,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract_adapter.rb,613,Arel::Collectors::Bind#initialize,16
212,call,vendor/bundle/gems/arel-9.0.0/lib/arel/collectors/composite.rb,6,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract_adapter.rb,611,Arel::Collectors::Composite#initialize,16
213,return,vendor/bundle/gems/arel-9.0.0/lib/arel/collectors/composite.rb,9,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract_adapter.rb,611,Arel::Collectors::Composite#initialize,16
214,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract_adapter.rb,621,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/database_statements.rb,25,ActiveRecord::ConnectionAdapters::AbstractAdapter#collector,15
